symbol,name,fiscal_year,current_price,analyst_tp,analyst_low,analyst_high,consensus,last_updated,price,eps,pe,roe,bvps,debt_assets,ocfps,fcfps,revps,divps
AAPL,Apple Inc.,2015,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,105.3,3.0,35.1,44.0,7.2,0.42,3.6,3.3,21.5,0.52
AAPL,Apple Inc.,2016,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,115.8,2.08,55.67,36.5,5.9,0.46,3.5,3.2,19.5,0.57
AAPL,Apple Inc.,2017,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,169.2,2.3,73.57,37.0,6.3,0.48,3.8,3.5,20.5,0.63
AAPL,Apple Inc.,2018,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,157.7,2.97,53.1,48.0,5.9,0.5,4.9,4.6,22.5,0.73
AAPL,Apple Inc.,2019,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,293.7,2.97,98.89,55.5,4.9,0.52,4.6,4.4,21.0,0.77
AAPL,Apple Inc.,2020,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,132.7,3.28,40.46,73.5,4.0,0.56,5.0,4.8,22.5,0.82
AAPL,Apple Inc.,2021,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,173.6,5.61,30.94,147.44,3.74,0.355,6.17,5.51,21.69,0.865
AAPL,Apple Inc.,2022,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,127.76,6.11,20.91,196.96,3.1038,0.3756,7.4821,6.8262,24.1536,0.91
AAPL,Apple Inc.,2023,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,190.38,6.13,31.06,156.08,3.9302,0.3151,6.9908,6.2978,24.2393,0.95
AAPL,Apple Inc.,2024,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,248.83,6.08,40.93,164.59,3.6961,0.2922,7.6748,7.0617,25.3785,0.99
AAPL,Apple Inc.,2025,312.06,310.507,215.0,400.0,Buy,2026-05-31T14:27:52,271.36,7.46,36.38,151.91,4.914,0.2746,7.4298,6.5824,27.7354,1.03
ABBV,AbbVie Inc.,2015,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,58.0,3.21,18.07,,-1.2,0.55,5.8,5.0,18.5,2.12
ABBV,AbbVie Inc.,2016,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,64.0,3.63,17.63,,-0.8,0.62,6.4,5.6,20.5,2.28
ABBV,AbbVie Inc.,2017,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,98.0,3.3,29.7,,-0.6,0.65,6.7,5.8,22.5,2.56
ABBV,AbbVie Inc.,2018,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,104.5,7.91,13.21,,2.0,0.68,8.0,7.0,24.5,3.59
ABBV,AbbVie Inc.,2019,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,87.5,7.7,11.36,,3.5,0.79,10.5,9.2,22.5,4.28
ABBV,AbbVie Inc.,2020,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,105.6,7.31,14.45,230.0,2.0,0.82,11.5,10.3,24.5,4.72
ABBV,AbbVie Inc.,2021,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,135.8,11.48,11.83,270.0,5.5,0.78,12.8,11.5,28.5,5.2
